nID;sName;sNote
1;Подія з цінними паперами;StockPaper
2;Подія зі статусними документами;DocumentStatutory
3;Подія правозастосування;Enforcement
4;Подія запису до реєстру;Registry
5;Кадрові події;HR
6;Подія аудит;Audit
